corridor,corridor_trip_count,corridor_median_factor,corridor_mean_factor,corridor_pct_delayed,corridor_median_actual_time,corridor_median_osrm_time,corridor_median_dwell,corridor_main_route_type,is_reliable,estimated_sla_breaches
IND503111AAC_IND503185AAA,20,1.8166666665000002,1.8512802905,1.0,109.0,60.0,28.0,FTL,1,20
IND501359AAE_IND585104AAA,21,1.668674699,1.6025877530952382,0.9523809523809523,280.0,168.0,240.0,FTL,1,20
IND501359AAE_IND462022AAA,20,2.0983676339999997,2.0956318873499997,1.0,1290.5,614.0,198.0,FTL,1,20
IND501359AAE_IND411033AAA,20,2.0391028395,2.0369696867,1.0,911.5,447.0,173.0,FTL,1,20
IND500080AAB_IND501359AAE,20,2.503367003,3.14589947095,1.0,61.0,21.0,109.5,Carting,1,20
IND480334AAA_IND480106AAA,21,1.416666667,1.4784958426190475,0.9523809523809523,50.0,36.0,26.0,FTL,1,20
IND461111AAA_IND460001AAA,20,1.8782390269999998,1.8703067160499998,1.0,115.5,62.0,17.5,FTL,1,20
IND444005AAB_IND421302AAG,20,2.306996248,2.2906475434,1.0,905.5,392.0,83.0,FTL,1,20
IND421302AAG_IND444005AAB,20,2.3811950245,2.3884222573,1.0,937.0,391.0,345.5,FTL,1,20
IND532201AAA_IND532222AAA,20,1.7113095235,1.6988496140999998,1.0,41.0,24.0,27.0,FTL,1,20
IND140901AAA_IND160002AAC,20,1.8390379275,1.7877264492999998,1.0,86.0,47.0,27.0,Carting,1,20
IND421302AAG_IND422011AAD,21,1.731958763,1.7367396532380952,0.9523809523809523,168.0,97.0,238.0,FTL,1,20
IND843105AAB_IND848101AAA,20,2.0,2.3871832991,1.0,39.5,20.0,38.0,FTL,1,20
IND400102AAB_IND421302AAG,20,1.9041666665,2.05608753175,1.0,50.0,28.5,205.0,Carting,1,20
IND741126AAB_IND741156AAA,20,2.426470588,2.4276085434,1.0,40.0,16.0,27.0,Carting,1,20
IND581115AAC_IND581110AAE,20,1.730769231,1.78932051285,1.0,44.0,25.0,32.5,Carting,1,20
IND140901AAA_IND160055AAA,20,1.785714286,1.8492885871999998,1.0,25.0,14.0,30.0,Carting,1,20
IND261001AAA_IND262701AAA,20,2.094636525,2.0835042068500003,1.0,100.5,49.0,47.0,FTL,1,20
IND641607AAA_IND641062AAD,20,2.5348387095,2.72120554595,1.0,71.5,28.5,43.0,FTL,1,20
IND842001AAA_IND843105AAB,20,2.8125,2.7976102941,1.0,45.0,16.0,55.5,FTL,1,20
IND842001AAA_IND848114AAA,20,2.21875,2.2947519224499997,1.0,106.5,48.0,57.5,FTL,1,20
IND000000ACB_IND302022AAD,20,1.6913702005,1.81076189735,1.0,286.5,168.5,129.0,FTL,1,20
IND160002AAC_IND140301AAA,21,1.434782609,1.6171093784761905,0.9523809523809523,67.0,47.0,72.0,FTL,1,20
IND691506AAA_IND691305AAA,20,1.527863777,1.59016657075,1.0,28.5,19.0,14.5,Carting,1,20
IND585104AAA_IND585330AAE,20,1.837209302,1.8192547997,1.0,77.5,43.0,143.5,FTL,1,20
